old_entrez_gene_id	new_entrez_gene_id	date
24990	499400	20050510
24996	24973	20071108
24997	24974	20080814
25003	100188935	20080814
25004	294228	20050508
25005	24737	20050509
25006	361801	20050510
25010	361725	20210602
25015	300711	20050510
25016	315604	20050510
25020	363247	20050510
25032	287730	20050510
25034	691657	20080913
25036	25665	20230126
25038	56780	20050510
25039	29477	20050510
25063	120093082	20050614
25067	81919	20050510
25068	58924	20050510
25070	315606	20050510
25072	25471	20071024
25077	291171	20090314
25082	360254	20050510
25088	24794	20130820
25115	309122	20050510
25127	292925	20050510
25131	29693	20050510
25138	293820	20050614
25140	89776	20230126
25141	29478	20050510
25142	79116	20050510
25143	289662	20050510
25144	299270	20050510
25160	303499	20050510
25161	367846	20050510
25168	360622	20050510
25169	363447	20050510
25170	314436	20050510
25171	29253	20050510
25173	302562	20050510
25174	64363	20050510
25175	296849	20050510
25178	679158	20050510
25180	84593	20050510
25182	309280	20050510
25184	363521	20050510
25185	63996	20050510
25188	302642	20050510
25189	678739	20070509
25190	363464	20050510
25191	362443	20050510
25198	310174	20230128
25201	497757	20060430
25208	64523	20050510
25209	24353	20050510
25210	24354	20050510
25212	24792	20050510
25213	24765	20050510
25214	301348	20050510
25215	326559	20050615
25222	25221	20050510
25228	498549	20060916
25234	308582	20050510
25286	25120	20050510
25299	497761	20060430
25355	360268	20170127
25370	100911796	20220301
25381	363256	20080904
25382	64312	20050510
25384	292697	20070420
25395	25295	20050510
25396	25528	20050510
25397	362119	20050510
25436	360546	20071019
25442	295279	20080519
25452	50577	20050510
25463	79246	20050510
25465	301289	20110528
25487	288475	20150818
25500	81725	20050510
25519	363153	20080919
25535	360857	20061108
25536	313678	20050624
25543	25216	20050510
25564	498545	20071012
25568	252924	20080624
25580	29535	20050510
25588	497756	20060430
25606	29353	20050510
25607	103690132	20150529
25657	497770	20060430
25691	497815	20060430
25733	300438	20050510
25754	500972	20050510
29133	50572	20050507
29136	301509	20071013
29137	24718	20050510
29159	64537	20050510
29164	170568	20050510
29166	362485	20080524
29176	29174	20050510
29193	25026	20050510
29196	79223	20050510
29208	362015	20070818
29212	291081	20080524
29217	361425	20070210
29226	25385	20050510
29239	24438	20050503
29247	25217	20050508
29249	50659	20050510
29250	64467	20050510
29255	366274	20080910
29262	360827	20050510
29267	25627	20050509
29280	54278	20050510
29281	680409	20081011
29289	497811	20060430
29291	29691	20050510
29293	79428	20050510
29297	171521	20050510
29299	25011	20050510
29303	60427	20081119
29305	314245	20050510
29306	680551	20050510
29312	316129	20050510
29321	367753	20061030
29325	113919	20050510
29327	64317	20050510
29329	54305	20050504
29330	58820	20050505
29341	362267	20050510
29342	25516	20050510
29343	50551	20050510
29346	29345	20050510
29347	100911581	20220707
29350	685269	20110126
29351	299851	20080524
29352	367191	20061108
29356	364304	20050510
29370	25477	20050510
29371	500242	20110126
29378	296535	20080523
29379	299511	20050510
29399	294287	20050827
29400	50555	20050510
29405	24266	20050510
29406	309212	20061108
29418	65153	20050510
29420	50557	20050510
29429	27100	20050510
29438	24426	20080307
29442	64531	20050510
29444	65160	20050510
29449	366791	20150818
29450	295214	20050510
29451	24615	20050510
29453	25639	20051001
29462	100909648	20220303
29472	246334	20050510
29488	288291	20080528
29490	116591	20050510
29493	308831	20110126
29494	367218	20050510
29505	291133	20050510
29506	303553	20050510
29519	362934	20080528
29522	83783	20050510
29523	65185	20050510
29529	299509	20050510
29537	308410	20050510
29570	58960	20050510
29572	502317	20080905
29590	252971	20050510
29604	113983	20050506
29605	103693367	20210331
29607	58850	20050503
29608	25119	20050504
29612	60349	20050510
29615	360406	20050510
29617	360417	20050508
29620	50567	20050509
